Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Arab World,ARB,,,,,,,,,,,,,,,14.86886626,,11.55040154,10.29122329,,
East Asia & Pacific (all income levels),EAS,2.788096505,2.59500996,2.591023493,2.85310598,3.000600703,3.157191915,3.207132337,3.357142658,3.688358439,3.790451516,3.749405844,4.311673915,4.679087325,4.910587055,4.863827696,4.933464188,4.758314538,4.521482357,,4.728179708
East Asia & Pacific (developing only),EAP,2.802183279,2.546912352,2.522863162,2.776583994,2.936593196,3.110638887,3.161722354,3.319723517,3.528934478,3.614330876,3.617698854,4.242513781,4.633009319,4.901624211,4.890452155,4.999191545,4.839952512,4.603696786,,4.720278437
Euro area,EMU,9.59997539,8.477282985,9.084932024,10.69898404,11.56511343,11.24699922,11.50377038,11.53684162,10.92489416,10.20445441,9.188122702,8.19801647,8.58872731,8.823552036,9.132012228,8.980231623,8.350925763,7.458503533,7.477328235,9.404630498
Europe & Central Asia (all income levels),ECS,,,8.224974927,9.484475686,10.19572868,9.801872516,9.950312545,10.40830358,10.42382268,10.33924087,9.46969051,8.966416602,8.909062365,8.930614,8.904504828,8.529699153,8.129909816,7.309403564,7.250166545,8.99138989
Europe & Central Asia (developing only),ECA,,,,,,8.759203926,9.059542734,10.54380371,11.44066649,11.6853635,10.2546694,9.893284195,9.211988364,9.064625903,8.764767982,8.100695003,8.160548132,7.636681979,7.768417391,9.292401514
European Union,EUU,,8.158256213,9.503492104,10.97568373,11.28087254,10.72420389,10.68665412,10.3504872,9.771946633,9.495232621,9.126154369,8.541683442,8.973756698,8.961370758,9.105417668,8.865097751,8.165424862,7.118629113,6.917604555,8.910800635
Heavily indebted poor countries (HIPC),HPC,,,,,,,,,,,,,,,,,,,,
High income,HIC,6.033858031,6.60953491,7.509837682,7.987451848,7.902299975,7.45302967,7.449429021,7.183035978,7.090808152,6.85380319,6.4559857,6.429057893,6.994079977,7.128198211,6.947702037,6.668516805,6.141522638,5.605786177,5.865011036,8.046242819
High income: nonOECD,NOC,,,,,,,,,,,,,,,,,,,,
High income: OECD,OEC,6.023449717,6.594769039,7.525537625,8.003681696,7.927261776,7.494636916,7.46842464,7.211483947,7.094260553,6.861911659,6.463369364,6.418366377,6.993715811,7.10289675,6.934334195,6.67104592,6.123465888,5.603602142,5.900134459,8.117837178
Latin America & Caribbean (all income levels),LCN,6.549202589,,6.747622345,6.748846227,,8.000647209,8.419675494,8.177187692,8.627345566,9.283443866,,8.931200814,9.168027789,9.336897082,8.556340523,8.266604558,7.517346454,7.050400704,6.775552731,7.956928112
Latin America & Caribbean (developing only),LAC,6.414508399,,6.622383381,6.617321513,,7.924990713,8.354571054,8.114039075,8.575248201,9.257788643,,8.911630201,9.147201221,9.316031248,8.544451464,8.246637685,7.499221818,7.031219575,6.75164603,7.92404936
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,
Low & middle income,LMY,,,,,4.439447425,4.631844572,4.42519956,4.907717982,5.19320793,,5.34333076,,,,6.502839053,6.041649682,,,,
Low income,LIC,,,,,,,,,,,,,,,,,,,,
Lower middle income,LMC,,,,,,3.941001079,3.737927302,4.368360498,5.055718902,,5.684060218,,,,6.44251662,6.443795354,,,,
Middle East & North Africa (all income levels),MEA,,12.64640937,,,,,,,,,,,13.29244895,,13.25510544,12.41294858,11.42311152,10.28309183,9.766120664,
Middle East & North Africa (developing only),MNA,,12.74478296,,,,,,,,,,,14.32914398,,13.55374831,12.92394745,,10.91744556,10.65511728,
Middle income,MIC,,,,,4.470162795,4.630973068,4.491531318,4.917413926,5.20824577,,5.415529025,,6.687514219,,6.219083954,6.114641158,,,,
North America,NAC,5.855761566,7.158055228,7.872212201,7.351008527,6.527504484,5.984323238,5.811932585,5.311585165,4.873617552,4.535767812,4.276764604,4.949098174,5.992835364,6.165186436,5.676320622,5.275966946,4.775903762,4.746301274,5.831515546,9.193097349
Not classified,INX,,,,,,,,,,,,,,,,,,,,
OECD members,OED,6.117888415,6.414980785,7.245465043,7.687649046,7.684561115,7.428642896,7.264429094,6.961027695,6.825552664,6.614745957,6.212795271,6.241373507,6.850574254,6.95030154,6.86728561,6.604241635,6.077172641,5.63794408,5.943023531,8.143334843
South Asia,SAS,,,,,3.927851382,2.632992273,2.355985944,3.045151259,3.903527035,,4.491457276,,,,4.783085418,4.514230439,,,,
Sub-Saharan Africa (all income levels),SSF,,,,,,,,,,,,,,,,,,,,
Sub-Saharan Africa (developing only),SSA,,,,,,,,,,,,,,,,,,,,
Upper middle income,UMC,3.258385835,3.288861337,3.514590615,3.882879509,4.426877147,4.969232824,4.907474632,5.242425318,5.301117324,5.565352459,5.235466962,5.866610638,6.223671057,6.308697175,6.080304848,5.934296997,5.594789397,5.445169464,,5.70381432
World,WLD,,,,,5.285250634,5.297790476,5.077017391,5.399913032,5.604923994,,5.584538174,,,,6.592379915,6.169611938,,,,
Afghanistan,AFG,,,,,,,,,,,,,,,,8.5,,,,
Albania,ALB,,,,,,,,,,,,22.7,,,,,,,12.7,
Algeria,DZA,19.8,20.6,23,23.2,24.4,27.9,,25.4,,,29.8,27.3,25.9,23.7,20.1,15.3,12.3,13.8,11.3,
American Samoa,ASM,3.5,,,,,,,,,,5.1,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,
Angola,AGO,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,6,,,,,,,,,,8.4,,,,,,,,
Argentina,ARG,7.3,5.8,6.7,10.1,12.1,18.8,17.2,14.9,12.8,14.1,15,18.3,17.9,16.1,12.6,10.6,10.1,8.5,7.8,8.6
Armenia,ARM,,,,,,,,36.4,,,,35.9,,,,,,28.4,28.6,
Aruba,ABW,,6.1,,,6.7,,,7.5,,,6.9,6.9,,,,,,5.7,,
Australia,AUS,6.9,9.6,10.8,10.9,9.7,8.5,8.5,8.5,7.7,6.9,6.3,6.8,6.4,5.9,5.4,5,4.8,4.4,4.2,5.6
Austria,AUT,3.2,3.4,3.6,4.2,3.5,3.7,4.1,4.2,4.2,3.7,3.5,3.6,4,4.3,4.9,5.2,4.7,4.4,3.8,4.8
Azerbaijan,AZE,,,,,,,,,,16.3,,,,,9,8.1,6.8,6.5,6.1,
"Bahamas, The",BHS,,12.2,14.7,13,13.4,10.8,11.5,9.8,7.6,7.4,,6.9,9,10.8,10.3,10.2,7.6,7.9,8.7,14.2
Bahrain,BHR,,6.3,,,,,,,,,,5.5,,,,,,,,
Bangladesh,BGD,,1.9,,,,,2.5,,,,3.3,,,4.3,,4.3,,,,
Barbados,BRB,15,17.1,22.9,25.6,23,19.7,14.7,14.6,12.3,10.4,9.3,9.8,10.3,11,9.8,9.1,8.7,7.4,8.1,
Belarus,BLR,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,7.2,7,6.7,8.1,9.6,9.3,9.5,9,9.3,8.6,6.6,6.2,7.5,8.2,8.4,8.4,8.2,7.5,7,7.9
Belize,BLZ,,3.9,,9.8,11.1,12.5,13.8,12.7,14.3,12.8,,9.1,10,,,11,9.4,8.5,8.2,
Benin,BEN,,,1.5,,,,,,,,,,0.7,,,,,,,
Bermuda,BMU,,6,,,,,,,,,2.7,,,,,,,,,
Bhutan,BTN,,,,,,,,,,,,,,1.8,2.5,3.2,3.2,3.7,,
Bolivia,BOL,19,6.6,5.5,6,3.1,3.6,5.2,3.7,,4.3,4.8,5.4,5.4,,4.3,5.4,5.3,5.2,,
Bosnia and Herzegovina,BIH,,17.6,,,,,,,,,,,,,,,31.8,29.7,23.9,
Botswana,BWA,,13.8,,,21.2,,21.5,,20.8,,15.8,18.6,,23.8,,,17.6,,,
Brazil,BRA,3.7,,6.4,6,,6,6.8,7.7,8.9,9.6,,9.3,9.1,9.7,8.9,9.3,8.4,8.1,7.1,8.3
Brunei Darussalam,BRN,,4.7,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,,,,21.4,20,15.7,13.5,13.7,12.2,14.1,16.2,19.9,18.1,13.7,12,10.1,9,6.9,5.6,6.8
Burkina Faso,BFA,,,,,2.6,,,,2.4,,,,,,,,,,,
Burundi,BDI,0.5,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,,,,,,,,,3,,2.5,1.7,,,,,,,,
Cameroon,CMR,,,,,,,8.1,,,,,7.5,,,,,,2.9,,
Canada,CAN,8.1,10.3,11.2,11.4,10.4,9.5,9.6,9.1,8.3,7.6,6.8,7.2,7.7,7.6,7.2,6.8,6.3,6,6.1,8.3
Cape Verde,CPV,23,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,,9.7,,7.2,5.7,4.9,5.1,4.1,4,,,7.5,5.4,3.6,4.3,3.5,2.6,3.8,4,
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,
Chad,TCD,,,,0.7,,,,,,,,,,,,,,,,
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,
Chile,CHL,5.7,5.3,4.4,4.5,5.9,4.7,6.3,6.1,6.3,9.8,9.2,9.1,8.9,8.5,8.8,8,7.7,7.1,7.8,9.7
China,CHN,2.5,2.3,2.3,2.6,2.8,2.9,3,3.1,3.1,3.1,3.1,3.6,4,4.3,4.2,4.2,4.1,4,,4.3
Colombia,COL,10.2,10.2,9.5,8.5,8.4,8.7,11.9,12.1,15,20.1,16.6,13.9,14.5,13.7,12.2,11,12,10.3,11.4,12
Comoros,COM,,20,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,4.6,5.6,4.1,4.1,4.2,5.2,6.2,5.7,5.6,6,5.2,6.1,6.4,6.7,6.5,6.6,6,4.6,4.9,
Cote d'Ivoire,CIV,,,6.7,,,4.1,,,4.1,,,,,,,,,,,
Croatia,HRV,,11.1,,,,,10,9.9,11,13.5,16.1,20.5,15.1,13.9,13.7,12.6,11.1,9.6,8.3,9.1
Cuba,CUB,,,,,,8.3,7.6,7.1,6.2,6.3,5.4,4.1,3.3,2.3,1.9,1.9,1.9,1.8,1.6,
Curacao,CUW,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,,,2.1,,,,,,,5.7,4.9,4,3.4,4.1,4.3,5.4,4.5,3.8,3.8,5.2
Czech Republic,CZE,,2.3,,4.3,4.3,4,3.9,4.8,6.5,8.7,8.8,8.1,7.3,7.8,8.3,7.9,7.1,5.3,4.4,6.7
Denmark,DNK,8.3,9.1,9,10.7,8,7,6.8,5.4,5,5.1,4.5,4.2,4.6,5.4,5.5,4.8,3.9,3.8,3.3,6
